Nr. crt.,Legitimație,Disciplina,Nota
116,1158,Matematică,10.00
532,1670,Matematică,10.00
794,1969,Matematică,10.00
168,1220,Matematică,9.87
524,1661,Matematică,9.87
1115,2339,Matematică,9.87
1131,2358,Matematică,9.87
1451,2714,Matematică,9.87
121,1163,Matematică,9.81
481,1612,Matematică,9.81
686,1846,Matematică,9.79
716,1883,Matematică,9.75
262,1337,Matematică,9.68
538,1677,Matematică,9.68
844,2027,Matematică,9.68
1107,2331,Matematică,9.68
155,1205,Matematică,9.62
163,1214,Matematică,9.62
181,1236,Matematică,9.62
205,1268,Informatică,9.62
351,1452,Matematică,9.62
387,1503,Matematică,9.62
655,1812,Matematică,9.62
705,1869,Matematică,9.62
711,1877,Matematică,9.62
1012,2216,Matematică,9.62
1047,2259,Matematică,9.62
39,1053,Informatică,9.56
285,1363,Matematică,9.56
1211,2452,Informatică,9.56
12,1015,Matematică,9.50
583,1731,Matematică,9.50
777,1948,Matematică,9.50
946,2146,Informatică,9.50
1058,2272,Matematică,9.50
1193,2429,Matematică,9.50
736,1904,Informatică,9.43
1271,2518,Matematică,9.43
503,1638,Informatică,9.37
636,1790,Informatică,9.37
1052,2265,Matematică,9.37
1168,2402,Informatică,9.37
1367,2622,Informatică,9.37
179,1234,Informatică,9.31
337,1435,Matematică,9.31
349,1449,Informatică,9.31
376,1482,Matematică,9.31
407,1523,Matematică,9.31
460,1587,Matematică,9.31
520,1657,Matematică,9.31
884,2077,Informatică,9.31
1219,2460,Matematică,9.31
1095,2317,Informatică,9.29
22,1030,Informatică,9.25
31,1041,Matematică,9.25
459,1586,Matematică,9.25
488,1620,Matematică,9.25
878,2071,Informatică,9.25
956,2156,Informatică,9.25
1143,2372,Matematică,9.25
1221,2463,Matematică,9.25
1333,2582,Matematică,9.25
100,1137,Informatică,9.23
61,1087,Informatică,9.19
201,1264,Informatică,9.19
99,1135,Informatică,9.18
223,1288,Informatică,9.18
371,1475,Informatică,9.18
630,1783,Informatică,9.18
718,1885,Informatică,9.18
1041,2250,Informatică,9.18
1146,2376,Informatică,9.18
1147,2377,Informatică,9.18
1359,2612,Informatică,9.18
8,1009,Matematică,9.12
68,1099,Matematică,9.12
182,1239,Matematică,9.12
257,1329,Informatică,9.12
457,1584,Informatică,9.12
463,1590,Informatică,9.12
506,1641,Matematică,9.12
602,1754,Matematică,9.12
918,2114,Matematică,9.12
1148,2378,Matematică,9.12
11,1014,Matematică,9.06
165,1217,Matematică,9.06
305,1387,Informatică,9.06
447,1574,Informatică,9.06
710,1876,Matematică,9.06
800,1977,Matematică,9.06
935,2134,Informatică,9.06
982,2184,Informatică,9.06
1017,2221,Matematică,9.06
1170,2404,Informatică,9.06
1378,2634,Matematică,9.06
439,1561,Informatică,9.04
1285,2532,Informatică,9.04
71,1102,Informatică,9.00
235,1303,Informatică,9.00
454,1581,Matematică,9.00
498,1633,Informatică,9.00
573,1720,Matematică,9.00
607,1759,Informatică,9.00
669,1828,Informatică,9.00
814,1995,Matematică,9.00
7,1008,Informatică,8.94
125,1167,Informatică,8.94
399,1515,Informatică,8.94
849,2035,Informatică,8.94
984,2186,Matematică,8.94
87,1120,Informatică,8.93
274,1350,Matematică,8.93
395,1511,Matematică,8.93
432,1552,Informatică,8.93
768,1939,Informatică,8.93
832,2014,Matematică,8.93
1033,2242,Matematică,8.93
1111,2335,Matematică,8.93
315,1401,Informatică,8.91
1077,2297,Informatică,8.90
24,1032,Informatică,8.87
110,1150,Informatică,8.87
159,1210,Informatică,8.87
186,1245,Matematică,8.87
309,1393,Informatică,8.87
391,1507,Informatică,8.87
410,1526,Matematică,8.87
417,1536,Informatică,8.87
471,1600,Informatică,8.87
645,1799,Matematică,8.87
646,1801,Informatică,8.87
726,1894,Matematică,8.87
730,1898,Informatică,8.87
781,1953,Informatică,8.87
786,1959,Informatică,8.87
842,2025,Informatică,8.87
893,2087,Informatică,8.87
1226,2471,Informatică,8.87
90,1123,Informatică,8.85
216,1281,Informatică,8.85
333,1429,Informatică,8.85
412,1528,Informatică,8.85
677,1836,Informatică,8.85
856,2043,Informatică,8.83
65,1093,Matematică,8.81
152,1202,Informatică,8.81
354,1456,Informatică,8.81
544,1685,Informatică,8.81
554,1699,Informatică,8.81
627,1780,Matematică,8.81
766,1937,Matematică,8.81
1025,2230,Informatică,8.81
1236,2482,Informatică,8.81
36,1047,Informatică,8.79
62,1089,Informatică,8.79
208,1271,Informatică,8.79
684,1843,Informatică,8.79
915,2111,Informatică,8.77
21,1026,Informatică,8.75
75,1108,Informatică,8.75
92,1126,Informatică,8.75
217,1282,Matematică,8.75
238,1306,Informatică,8.75
258,1330,Informatică,8.75
326,1418,Informatică,8.75
328,1423,Informatică,8.75
425,1544,Informatică,8.75
706,1870,Matematică,8.75
905,2100,Matematică,8.75
1056,2270,Informatică,8.75
1159,2390,Informatică,8.75
1209,2450,Informatică,8.75
1218,2459,Informatică,8.75
1231,2477,Matematică,8.75
1349,2601,Matematică,8.75
434,1555,Informatică,8.73
888,2082,Informatică,8.73
980,2182,Informatică,8.73
1370,2625,Matematică,8.73
114,1155,Matematică,8.69
136,1181,Matematică,8.69
254,1326,Informatică,8.69
484,1616,Matematică,8.69
511,1647,Informatică,8.69
829,2011,Informatică,8.69
942,2141,Informatică,8.69
976,2177,Informatică,8.69
221,1286,Informatică,8.68
281,1357,Matematică,8.68
938,2137,Informatică,8.68
603,1755,Informatică,8.67
932,2131,Informatică,8.65
2,1002,Informatică,8.62
89,1122,Informatică,8.62
96,1131,Informatică,8.62
192,1255,Informatică,8.62
248,1319,Informatică,8.62
289,1368,Informatică,8.62
291,1370,Informatică,8.62
431,1550,Informatică,8.62
467,1596,Informatică,8.62
480,1611,Informatică,8.62
577,1724,Informatică,8.62
615,1768,Informatică,8.62
650,1807,Informatică,8.62
665,1822,Informatică,8.62
767,1938,Informatică,8.62
910,2106,Informatică,8.62
911,2107,Matematică,8.62
966,2166,Matematică,8.62
990,2192,Informatică,8.62
1064,2281,Matematică,8.62
1197,2435,Matematică,8.62
296,1376,Informatică,8.60
111,1151,Matematică,8.56
231,1299,Informatică,8.56
259,1332,Informatică,8.56
323,1414,Matematică,8.56
379,1492,Matematică,8.56
421,1540,Informatică,8.56
442,1569,Informatică,8.56
465,1594,Matematică,8.56
469,1598,Matematică,8.56
493,1626,Matematică,8.56
499,1634,Matematică,8.56
576,1723,Informatică,8.56
667,1824,Informatică,8.56
732,1900,Matematică,8.56
774,1945,Informatică,8.56
836,2018,Informatică,8.56
896,2090,Matematică,8.56
925,2123,Matematică,8.56
998,2201,Informatică,8.56
1023,2227,Matematică,8.56
1076,2296,Informatică,8.56
1327,2576,Matematică,8.56
1331,2580,Informatică,8.56
1354,2606,Matematică,8.56
1369,2624,Matematică,8.56
1414,2675,Informatică,8.56
184,1241,Informatică,8.54
567,1714,Informatică,8.54
597,1747,Informatică,8.54
623,1776,Informatică,8.54
55,1077,Matematică,8.50
191,1254,Informatică,8.50
214,1279,Informatică,8.50
345,1444,Informatică,8.50
356,1458,Matematică,8.50
450,1577,Informatică,8.50
485,1617,Informatică,8.50
699,1862,Informatică,8.50
769,1940,Informatică,8.50
828,2010,Informatică,8.50
862,2050,Informatică,8.50
959,2159,Matematică,8.50
987,2189,Informatică,8.50
1126,2352,Informatică,8.50
1388,2644,Matematică,8.50
170,1224,Informatică,8.48
389,1505,Informatică,8.48
593,1743,Informatică,8.48
876,2068,Informatică,8.48
1029,2236,Informatică,8.48
1230,2476,Informatică,8.48
1290,2537,Informatică,8.48
1408,2669,Informatică,8.48
1393,2650,Informatică,8.46
33,1044,Matematică,8.44
67,1096,Informatică,8.44
143,1191,Informatică,8.44
321,1411,Informatică,8.44
500,1635,Informatică,8.44
671,1830,Informatică,8.44
780,1952,Matematică,8.44
783,1956,Informatică,8.44
802,1980,Informatică,8.44
803,1981,Informatică,8.44
852,2039,Matematică,8.44
913,2109,Informatică,8.44
1121,2347,Informatică,8.44
1263,2510,Matematică,8.44
1357,2610,Matematică,8.44
1392,2648,Matematică,8.44
1494,2764,Informatică,8.44
29,1038,Informatică,8.43
543,1684,Informatică,8.43
547,1689,Informatică,8.43
797,1974,Informatică,8.43
833,2015,Informatică,8.43
1088,2309,Informatică,8.43
5,1005,Informatică,8.42
220,1285,Informatică,8.42
293,1372,Informatică,8.42
571,1718,Informatică,8.42
926,2124,Informatică,8.41
1345,2596,Informatică,8.41
45,1065,Informatică,8.38
823,2005,Matematică,8.38
945,2145,Informatică,8.38
35,1046,Informatică,8.37
145,1193,Informatică,8.37
146,1194,Matematică,8.37
276,1352,Informatică,8.37
284,1362,Informatică,8.37
342,1440,Informatică,8.37
396,1512,Informatică,8.37
430,1549,Informatică,8.37
568,1715,Informatică,8.37
575,1722,Matematică,8.37
626,1779,Informatică,8.37
648,1805,Informatică,8.37
658,1815,Matematică,8.37
821,2003,Informatică,8.37
841,2024,Informatică,8.37
914,2110,Informatică,8.37
979,2181,Matematică,8.37
1009,2213,Informatică,8.37
1011,2215,Informatică,8.37
1114,2338,Matematică,8.37
1167,2399,Informatică,8.37
1365,2620,Informatică,8.37
206,1269,Informatică,8.35
242,1311,Informatică,8.35
988,2190,Informatică,8.35
1075,2294,Informatică,8.35
1164,2396,Informatică,8.35
1214,2455,Informatică,8.35
1224,2467,Informatică,8.35
49,1070,Informatică,8.31
102,1139,Informatică,8.31
166,1218,Matematică,8.31
240,1309,Informatică,8.31
377,1485,Informatică,8.31
426,1545,Informatică,8.31
466,1595,Informatică,8.31
521,1658,Informatică,8.31
701,1864,Informatică,8.31
816,1997,Informatică,8.31
838,2020,Informatică,8.31
871,2061,Matematică,8.31
904,2099,Matematică,8.31
1048,2261,Informatică,8.31
1081,2301,Informatică,8.31
1106,2329,Matematică,8.31
1152,2382,Informatică,8.31
1237,2483,Informatică,8.31
1269,2516,Matematică,8.31
1299,2546,Matematică,8.31
1355,2607,Informatică,8.31
118,1160,Informatică,8.29
868,2058,Informatică,8.29
1361,2614,Informatică,8.29
1140,2368,Informatică,8.27
335,1432,Informatică,8.25
346,1446,Informatică,8.25
550,1694,Informatică,8.25
651,1808,Matematică,8.25
663,1820,Informatică,8.25
707,1871,Matematică,8.25
795,1972,Informatică,8.25
861,2049,Informatică,8.25
872,2062,Matematică,8.25
973,2174,Informatică,8.25
1008,2212,Informatică,8.25
1179,2413,Informatică,8.25
1322,2571,Informatică,8.25
151,1201,Informatică,8.23
157,1207,Informatică,8.23
187,1246,Informatică,8.23
272,1347,Informatică,8.23
301,1383,Informatică,8.23
339,1437,Informatică,8.23
437,1558,Informatică,8.23
788,1963,Informatică,8.23
1466,2729,Informatică,8.23
4,1004,Informatică,8.19
34,1045,Informatică,8.19
120,1162,Informatică,8.19
177,1232,Informatică,8.19
414,1531,Matematică,8.19
487,1619,Informatică,8.19
770,1941,Informatică,8.19
963,2163,Matematică,8.19
991,2193,Informatică,8.19
1200,2439,Informatică,8.19
1208,2449,Informatică,8.19
213,1278,Informatică,8.18
277,1353,Matematică,8.18
304,1386,Matematică,8.18
319,1405,Informatică,8.18
378,1487,Matematică,8.18
489,1621,Informatică,8.18
512,1648,Informatică,8.18
638,1792,Matematică,8.18
649,1806,Informatică,8.18
758,1927,Matematică,8.18
867,2057,Informatică,8.18
964,2164,Informatică,8.18
1082,2302,Informatică,8.18
1113,2337,Informatică,8.18
1163,2395,Matematică,8.18
1176,2410,Informatică,8.18
1260,2507,Informatică,8.18
1476,2740,Matematică,8.18
668,1826,Informatică,8.17
1433,2695,Informatică,8.17
306,1388,Informatică,8.16
350,1450,Informatică,8.16
375,1481,Informatică,8.16
386,1502,Informatică,8.16
751,1920,Informatică,8.16
789,1964,Informatică,8.16
1156,2387,Informatică,8.16
644,1798,Informatică,8.15
127,1169,Informatică,8.13
1286,2533,Informatică,8.13
6,1006,Informatică,8.12
195,1258,Informatică,8.12
210,1273,Informatică,8.12
275,1351,Informatică,8.12
352,1453,Informatică,8.12
380,1495,Informatică,8.12
384,1500,Matematică,8.12
385,1501,Informatică,8.12
388,1504,Informatică,8.12
502,1637,Informatică,8.12
507,1642,Informatică,8.12
557,1702,Informatică,8.12
566,1713,Informatică,8.12
675,1834,Matematică,8.12
870,2060,Matematică,8.12
1130,2357,Matematică,8.12
1248,2494,Informatică,8.12
1313,2561,Matematică,8.12
1318,2566,Informatică,8.12
1335,2584,Matematică,8.12
1401,2658,Informatică,8.12
1448,2711,Informatică,8.12
582,1730,Informatică,8.11
98,1134,Informatică,8.10
362,1464,Informatică,8.10
404,1520,Informatică,8.10
606,1758,Informatică,8.10
618,1771,Informatică,8.10
3,1003,Informatică,8.06
51,1072,Informatică,8.06
200,1263,Informatică,8.06
251,1322,Matematică,8.06
367,1469,Informatică,8.06
422,1541,Informatică,8.06
438,1559,Matematică,8.06
